Typ;Name;Gruppe;Start;Ende;Farbe;Puffer;Kritisch;Einrückung
gruppe;Projektphasen;;;;;;;;
phase;Initiierung;Projektphasen;2025-01-06;2025-01-31;gruen;0;nein;0
phase;Kickoff-Vorbereitung;Projektphasen;2025-01-06;2025-01-17;gruen;0;nein;1
phase;Stakeholder-Analyse;Projektphasen;2025-01-20;2025-01-31;gruen;0;nein;1
meilenstein;Projekt-Kickoff;Projektphasen;2025-02-03;;;;;0
phase;Analyse & Konzeption;Projektphasen;2025-02-03;2025-03-28;rot;14;nein;0
phase;Ist-Analyse;Projektphasen;2025-02-03;2025-02-21;rot;0;nein;1
phase;Soll-Konzept;Projektphasen;2025-02-24;2025-03-14;rot;7;nein;1
phase;Freigabe Konzept;Projektphasen;2025-03-17;2025-03-28;rot;0;ja;1
meilenstein;Konzept-Freigabe;Projektphasen;2025-03-28;;;;;0
gruppe;Umsetzung;;;;;;;;
phase;Implementierung;Umsetzung;2025-03-31;2025-06-27;rot;21;nein;0
phase;Sprint 1-3;Umsetzung;2025-03-31;2025-05-09;rot;0;nein;1
phase;Sprint 4-6;Umsetzung;2025-05-12;2025-06-20;rot;0;nein;1
phase;Code Review;Umsetzung;2025-06-23;2025-06-27;rot;0;ja;1
meilenstein;Feature Complete;Umsetzung;2025-06-27;;;;;0
phase;Testing;Umsetzung;2025-06-30;2025-07-25;dunkelrot;7;ja;0
phase;Unit Tests;Umsetzung;2025-06-30;2025-07-11;dunkelrot;0;nein;1
phase;Integrationstests;Umsetzung;2025-07-14;2025-07-25;dunkelrot;0;ja;1
gruppe;Go-Live;;;;;;;;
phase;Deployment-Vorbereitung;Go-Live;2025-07-28;2025-08-08;rot;0;ja;0
phase;Schulungen;Go-Live;2025-08-04;2025-08-15;gruen;0;nein;0
meilenstein;Go-Live;Go-Live;2025-08-18;;;;;0
phase;Hypercare;Go-Live;2025-08-18;2025-09-12;gruen;0;nein;0
meilenstein;Projektabschluss;Go-Live;2025-09-15;;;;;0
